equipamento,tipo,logradouro,velocidade_via,latitude,longitude,bairro,,
5941,Lombada,AV. MAL. MASCARENHAS DE MORAESEM FRENTE AEROPORTO - SENT. PRAZERES,60 km/h,-81309702,-349161612,Imbiribeira,-8.1309702,-34.9161612
5942,Lombada,AV. MAL. MASCARENHAS DE MORAESEM FRENTE AEROPORTO - SENT. CENTRO,60 km/h,-81306469,-349158856,Imbiribeira,-8.1306469,-34.9158856
5943,Lombada,AV. BOA VIAGEM - TERCEIRO JARDIM,60 km/h,-81078431,-348881609,Boa Viagem,-8.1078431,-34.8881609
5944,Lombada,DEFRONTE A PCA. GOV. PAULO GUERRACABANGA - SENT. PINA,60 km/h,-80801208,-348921866,Cabanga,-8.0801208,-34.8921866
5945,Lombada,APOS PONTE AGAMENON MAGALHAESCABANGA - SENT. DERBY,60 km/h,-80808198,-348911590,São José,-8.0808198,-34.891159
5946,Lombada,AV. BOA VIAGEM – EM FRENTE PARQUE DONA LINDU,60 km/h,-81410665,-349032775,Boa Viagem,-8.1410665,-34.9032775
5947,Lombada,AV. BOA VIAGEM – EM FRENTE PARQUE DONA LINDU,60 km/h,-81410665,-349032775,Boa Viagem,-8.1410665,-34.9032775
5948,Lombada,AV. GOV. AGAMENON MAGALHAES – EM FRENTE REITORIA UPE - SENT. OLINDA,60 km/h,-80431659,-348858642,Santo Amaro,-8.0431659,-34.8858642
5949,Lombada,AV. GOV. AGAMENON MAGALHAES – EM FRENTE REITORIA UPE - SENT. OLINDA,60 km/h,-80431659,-348858642,Santo Amaro,-8.0431659,-34.8858642
5950,Lombada,AV. GOV. AGAMENON MAGALHAES – PROX. VIADUTO PRES. MEDICI - SENT. DERBY,60 km/h,-80415844,-348833148,Santo Amaro,-8.0415844,-34.8833148
5951,Lombada,AV. GENERAL SAN MARTINN. 1864SENT. AV. RECIFE,40 km/h,-80674689,-349278105,Jiquiá,-8.0674689,-34.9278105
5952,Lombada,AV. AFONSO OLINDENSEN. 996SENT. CAXANGA,40 km/h,-80395243,-349576449,Várzea,-8.0395243,-34.9576449
5953,Lombada,AV. MAURICIO DE NASSAU ENTRONCAMENTO 1a. TRV. SANTA LÚCIASENT. CENTRO,40 km/h,-80391921,-349298387,Iputinga,-8.0391921,-34.9298387
5954,Lombada,AV. ALFREDO LISBOAENTRE OS N. 33 E 18,30 km/h,-80637868,-348716323,Recife,-8.0637868,-34.8716323
5955,Lombada,RUA ARQ. LUIZ NUNES CRUZAMENTO RUA DEOLINDO TAVARESSENT. SUBURBIO,40 km/h,-80874203,-349099345,Imbiribeira,-8.0874203,-34.9099345
5956,Lombada,RUA PARISPRÓXIMO A PARADA DE ÔNIBUS N.020470,50 km/h,-81029992,-349131300,Imbiribeira,-8.1029992,-34.91313
5957,Lombada,AV. CONS. AGUIARN. 4620,60 km/h,-8127873,-34900242,Boa Viagem,-8.127873,-3.4900242
5958,Lombada,AV. RUI BARBOSAN. 1397,60 km/h (40km/h ciclofaixa),-80411575,-349033434,Graças,-8.0411575,-34.9033434
5959,Lombada,AV. ENG. ANTONIO DE GOESN. 124,60 km/h (40km/h ciclofaixa),-80883266,-348837708,Pina,-8.0883266,-34.8837708
5960,Lombada,AV. ENG. JOSÉ ESTELITA - ENTRE PTS. DE ILUM. 19-R e 21-RSENT. CENTRO,60 km/h (40km/h ciclofaixa),-80758569,-348874512,São José,-8.0758569,-34.8874512
5961,Lombada,CAIS SANTA RITAPROX.  AO N. 675 - SENT. CENTRO,60 km/h (40km/h ciclofaixa),-807173390,-348779064,São José,-8.0717339,-34.8779064
5962,Lombada,AV. DOM JOAO VIEM FRT. AO PT. DE ONIBUS N. 010243IMBIRIBEIRA,50 km/h,-81157038,-34904305,Imbiribeira,-8.1157038,-3.4904305
5963,Lombada,AV. REPUBLICA DO LIBANON. 115 - PINA - SENT. SUBURBIO,60 km/h,-80873199,-348912547,Pina,-8.0873199,-34.8912547
5964,Lombada,AV. CELSO FURTADO KM 15 - SENT. CENTRO,60 km/h,-80989628,-348902929,Pina,-8.0989628,-34.8902929
5965,Lombada,AV. CELSO FURTADO KM 24 - SENT. SUBURBIO,60 km/h,-81053608,-348918783,Pina,-8.1053608,-34.8918783
5966,Lombada,AV. CELSO FURTADO KM 25 - SENT. CENTRO,60 km/h,-81057941,-348920917,Pina,-8.1057941,-34.8920917
5967,Lombada,AV. SATURNINO DE BRITO - PROX. A COMPESASENT. SUBURBIO,60 km/h,-80795908,-348927989,Cabanga,-8.0795908,-34.8927989
